MSA,mean_pers_one,mean_pers_two,consec_pers,pct_delta_pers_one,pct_delta_pers_two,true_pos,false_negatives,capture,pval
Phoenix,1,2,1,3,1,0.75,0,1,
Miami,2,1,1,3,2,0.666666667,0.076923077,0.8,0.006656592
Chicago,2,2,1,3,1,0.6,0.076923077,0.75,0.016806357
LosAngeles,3,1,1,4,2,0.6,0.071428571,0.75,0.012824968
WashingtonDC,2,1,1,3,3,0.666666667,0.153846154,0.666666667,0.025395509
Dallas,1,2,1,3,2,1,0.0625,0.666666667,
NewYork,2,2,1,4,1,1,0.230769231,0.625,
Tampa,1,4,1,4,1,0.6,0.181818182,0.6,0.094380998
Baltimore,2,4,1,4,1,0.375,0.375,0.5,1
SanFrancisco,3,1,1,3,1,0.571428571,0.333333333,0.5,0.310596275
Seattle,1,1,1,4,1,0.75,0.2,0.5,0.035496026
Detroit,1,1,1,3,2,0.5,0.230769231,0.5,0.240575432
StLouis,2,2,1,4,1,0.666666667,0.133333333,0.5,0.042522478
Philadelphia,1,2,1,1,1,0.666666667,0.2,0.4,0.099480881
Denver,3,4,1,4,3,0.5,0.25,0.4,0.350201389
Minneapolis,3,3,1,1,1,0.2,0.166666667,0.333333333,0.86951981
SanDiego,1,1,1,2,3,0.666666667,0.25,0.333333333,0.154229281
Atlanta,2,2,3,1,1,1,0.117647059,0.333333333,
Houston,2,4,1,1,1,0.333333333,0.230769231,0.25,0.711531418
Boston,3,1,1,1,2,0.25,0.2,0.25,0.827472006
